epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8139,1.17868,3.48668,1.46483,0.00317,0.75214,0.35739,0.25363,1.08687,3.83092,1.31723,0.00041675,0.00041675,0.00041675
2,23.8254,0.89548,2.71778,1.15359,0.00337,0.80769,0.50348,0.30038,1.17826,3.70434,1.35605,0.000953163,0.000953163,0.000953163
3,54.0093,0.97354,2.45206,1.23759,0.00392,0.92308,0.43645,0.2776,1.18474,3.59326,1.49234,0.00146757,0.00146757,0.00146757
4,92.3146,1.31838,2.55879,1.4363,0.00314,0.76923,0.24597,0.08779,2.10091,4.29507,2.44516,0.00156798,0.00156798,0.00156798
5,107.188,1.11632,2.7482,1.40834,0.00315,0.75214,0.15792,0.0852,1.48994,3.95566,1.68027,0.00153497,0.00153497,0.00153497
